[LOGFILE] AVLTree.iterative-leftValid_definedness-fHash-8b0f5f01be7f6e1ae00b3225b4b3f75fd9690a7caf1801d7204002e4a2346df6.log 7803324b 2.981s
[tool] dummy
[Parse] 12830us
[tool] smt-scope
[Parse] 55122us
[Graph] 15667us
[Analysis] 8665us
[Stats] 0 mbqi, 10044 ts, 650 axiom, 1 quant, 58431 proof, 14903 ntp, 1 cdcl,
[Loops] 0 true, 0 false
[Branching] 0 
[QuantInstCount] constructor_accessor_axiom{0}[q0{0}] 0 0
[QuantInstCount] constructor_accessor_axiom{0}[q1{0}] 0 0
[QuantInstCount] constructor_accessor_axiom{0}[q2{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q3{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q4{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q5{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q6{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q7{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q8{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q9{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q10{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q11{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q12{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q13{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q14{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q15{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q16{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q17{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q18{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q19{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q20{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q21{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q22{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q23{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q24{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q25{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q26{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q27{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q28{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q29{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q30{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q31{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q32{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q33{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q34{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q35{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q36{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q37{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q38{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q39{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q40{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q41{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q42{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q43{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q44{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q45{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q46{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q47{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q48{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q49{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q50{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q51{0}] 0 1
[QuantInstCount] constructor_accessor_axiom{0}[q52{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q53{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q54{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q55{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q56{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q57{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q58{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q59{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q60{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q61{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q62{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q63{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q64{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q65{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q66{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q67{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q68{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q69{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q70{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q71{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q72{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q73{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q74{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q75{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q76{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q77{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q78{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q79{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q80{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q81{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q82{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q83{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q84{0}] 0 11
[QuantInstCount] constructor_accessor_axiom{0}[q85{0}] 0 11
